Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,ToStopID,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour
Wednesday,NT1-In-1001-NT260007454-2024-08-21T06:36:00-2024-08-21,06:37:00,1021.0,260007454,260007423,2024-08-21 06:36:00,2024-08-21 06:36:00,2024-08-21 06:26:33,2024-08-21 06:35:51,1:1_1_2147483284,9.3,-0.15,-9.45,6,6
Wednesday,NT1-In-1001-NT260007454-2024-08-21T06:36:00-2024-08-21,06:37:00,1021.0,260007423,260007343,2024-08-21 06:36:00,2024-08-21 06:37:00,2024-08-21 06:35:51,2024-08-21 06:37:42,1:1_2_2147483283,1.85,0.7,-0.15,6,6
Wednesday,NT1-In-1001-NT260007454-2024-08-21T08:56:00-2024-08-21,08:57:00,1053.0,260007454,260007423,2024-08-21 08:56:00,2024-08-21 08:56:00,2024-08-21 08:51:41,2024-08-21 08:57:05,1:1_1_2147483284,5.4,1.0833333333333333,-4.316666666666666,8,8
Wednesday,NT1-In-1001-NT260007454-2024-08-21T08:56:00-2024-08-21,08:57:00,1053.0,260007423,260007343,2024-08-21 08:56:00,2024-08-21 08:57:00,2024-08-21 08:57:05,2024-08-21 08:59:23,1:1_2_2147483283,2.3,2.3833333333333333,1.0833333333333333,8,8
Wednesday,NT1-In-1001-NT260007454-2024-08-21T11:14:00-2024-08-21,11:15:00,1081.0,260007454,260007423,2024-08-21 11:14:00,2024-08-21 11:14:00,2024-08-21 11:06:27,2024-08-21 11:06:27,1:1_1_2147483284,0.0,-7.55,-7.55,11,11
Wednesday,NT1-In-1001-NT260007454-2024-08-21T11:14:00-2024-08-21,11:15:00,1081.0,260007423,260007343,2024-08-21 11:14:00,2024-08-21 11:15:00,2024-08-21 11:06:27,2024-08-21 11:16:32,1:1_2_2147483283,10.083333333333334,1.5333333333333334,-7.55,11,11
Wednesday,NT1-In-1001-NT260007454-2024-08-21T13:34:00-2024-08-21,13:35:00,1109.0,260007454,260007423,2024-08-21 13:34:00,2024-08-21 13:34:00,2024-08-21 13:26:08,2024-08-21 13:35:33,1:1_1_2147483284,9.416666666666666,1.55,-7.866666666666666,13,13
Wednesday,NT1-In-1001-NT260007454-2024-08-21T13:34:00-2024-08-21,13:35:00,1109.0,260007423,260007343,2024-08-21 13:34:00,2024-08-21 13:35:00,2024-08-21 13:35:33,2024-08-21 13:36:53,1:1_2_2147483283,1.3333333333333333,1.8833333333333333,1.55,13,13
Wednesday,NT1-In-1001-NT260007454-2024-08-21T15:54:00-2024-08-21,15:55:00,1145.0,260007454,260007423,2024-08-21 15:54:00,2024-08-21 15:54:00,2024-08-21 15:50:11,2024-08-21 15:54:42,1:1_1_2147483284,4.516666666666667,0.7,-3.816666666666667,15,15
Wednesday,NT1-In-1001-NT260007454-2024-08-21T15:54:00-2024-08-21,15:55:00,1145.0,260007423,260007343,2024-08-21 15:54:00,2024-08-21 15:55:00,2024-08-21 15:54:42,2024-08-21 15:56:33,1:1_2_2147483283,1.85,1.55,0.7,15,15
Wednesday,NT1-In-1001-NT260007454-2024-08-21T18:26:00-2024-08-21,18:27:00,1173.0,260007454,260007423,2024-08-21 18:26:00,2024-08-21 18:26:00,2024-08-21 18:14:10,2024-08-21 18:26:47,1:1_1_2147483284,12.616666666666667,0.7833333333333333,-11.833333333333334,18,18
Wednesday,NT1-In-1001-NT260007454-2024-08-21T18:26:00-2024-08-21,18:27:00,1173.0,260007423,260007343,2024-08-21 18:26:00,2024-08-21 18:27:00,2024-08-21 18:26:47,2024-08-21 18:28:24,1:1_2_2147483283,1.6166666666666667,1.4,0.7833333333333333,18,18
Thursday,NT1-In-1001-NT260007454-2024-08-22T13:34:00-2024-08-22,13:35:00,1109.0,260007454,260007423,2024-08-22 13:34:00,2024-08-22 13:34:00,2024-08-22 13:26:14,2024-08-22 13:36:10,1:1_1_2147483284,9.933333333333334,2.1666666666666665,-7.766666666666667,13,13
Thursday,NT1-In-1001-NT260007454-2024-08-22T13:34:00-2024-08-22,13:35:00,1109.0,260007423,260007343,2024-08-22 13:34:00,2024-08-22 13:35:00,2024-08-22 13:36:10,2024-08-22 13:36:41,1:1_2_2147483283,0.5166666666666667,1.6833333333333331,2.1666666666666665,13,13
Thursday,NT1-In-1001-NT260007454-2024-08-22T15:54:00-2024-08-22,15:55:00,1145.0,260007454,260007423,2024-08-22 15:54:00,2024-08-22 15:54:00,2024-08-22 15:46:52,2024-08-22 15:55:26,1:1_1_2147483284,8.566666666666666,1.4333333333333331,-7.133333333333334,15,15
Thursday,NT1-In-1001-NT260007454-2024-08-22T15:54:00-2024-08-22,15:55:00,1145.0,260007423,260007343,2024-08-22 15:54:00,2024-08-22 15:55:00,2024-08-22 15:55:26,2024-08-22 15:55:51,1:1_2_2147483283,0.4166666666666667,0.85,1.4333333333333331,15,15
Thursday,NT1-In-1001-NT260007454-2024-08-22T18:26:00-2024-08-22,18:27:00,1173.0,260007454,260007423,2024-08-22 18:26:00,2024-08-22 18:26:00,2024-08-22 18:20:12,2024-08-22 18:27:33,1:1_1_2147483284,7.35,1.55,-5.8,18,18
Thursday,NT1-In-1001-NT260007454-2024-08-22T18:26:00-2024-08-22,18:27:00,1173.0,260007423,260007343,2024-08-22 18:26:00,2024-08-22 18:27:00,2024-08-22 18:27:33,2024-08-22 18:28:04,1:1_2_2147483283,0.5166666666666667,1.0666666666666669,1.55,18,18
Friday,NT1-In-1001-NT260007454-2024-08-23T08:56:00-2024-08-23,08:57:00,1053.0,260007454,260007423,2024-08-23 08:56:00,2024-08-23 08:56:00,2024-08-23 08:49:10,2024-08-23 08:58:33,1:1_1_2147483284,9.383333333333333,2.55,-6.833333333333333,8,8
