id,features
1,"[0.015625,0.4354044966766459,0.43039789131690653,0.2608695652173913,0.0,0.470036086872814]"
2,"[0.015625,0.43573912037593376,0.4340677365670158,0.2608695652173913,0.0,0.470036086872814]"
3,"[0.046875,0.43589002912445807,0.4324235406590949,0.34782608695652173,0.0,0.3205776104806935]"
4,"[0.046875,0.4364018065786449,0.43455441858191507,0.34782608695652173,0.0,0.3205776104806935]"
5,"[0.07421875,0.43249130202497027,0.43114764451290066,0.4782608695652174,0.0,0.42382670306710724]"
6,"[0.07421875,0.4360671828206949,0.43114764451290066,0.4782608695652174,0.0,0.42382670306710724]"
7,"[0.1015625,0.43607374406348925,0.43102268564690166,0.5652173913043478,0.0,0.4527075834385781]"
8,"[0.1015625,0.4362049690601656,0.43473856849217896,0.5652173913043478,0.0,0.4527075834385781]"
9,"[0.13671875,0.43573912037593376,0.4326208441713382,0.6521739130434783,0.0,0.2628158910521628]"
10,"[0.13671875,0.43607374406348925,0.43440315253547745,0.6521739130434783,0.0,0.2628158910521628]"
11,"[0.1640625,0.4357719266368353,0.42945741129205667,0.7826086956521738,0.0,0.6036101224407572]"
12,"[0.1640625,0.4360146928314103,0.43443603646986495,0.7826086956521738,0.0,0.6036101224407572]"
13,"[0.1015625,0.4363165103284588,0.4310621463117177,0.5652173913043478,0.0,0.4397111852056957]"
14,"[0.1015625,0.43612623405277384,0.4349819095407893,0.5652173913043478,0.0,0.4397111852056957]"
15,"[0.13671875,0.436027815316999,0.431312064231879,0.6521739130434783,0.0,0.376173297965753]"
16,"[0.13671875,0.4357981716314776,0.43469253100285277,0.6521739130434783,0.0,0.376173297965753]"
17,"[0.1640625,0.43607374406348925,0.43183820680575247,0.7826086956521738,0.0,0.32779784090216396]"
18,"[0.1640625,0.4358834678816637,0.43473856849217896,0.7826086956521738,0.0,0.32779784090216396]"
19,"[0.046875,0.43646741900658853,0.43143044622632704,0.34782608695652173,0.0,0.47292417077852]"
20,"[0.046875,0.4367954815217442,0.4351331755166657,0.3913043478260869,0.0,0.47292417077852]"
21,"[0.07421875,0.43606062157790054,0.4326142673938689,0.4782608695652174,0.0,0.2628158910521628]"
22,"[0.07421875,0.4360671828206949,0.43472541493724026,0.4782608695652174,0.0,0.2628158910521628]"
23,"[0.046875,0.43640836782143927,0.43306148863811034,0.34782608695652173,0.0,0.24404332500786838]"
24,"[0.046875,0.43634275529963623,0.4350739845194416,0.34782608695652173,0.0,0.24404332500786838]"
25,"[0.07421875,0.43575880412778173,0.43101610896351394,0.4782608695652174,0.0,0.4259927763249895]"
26,"[0.07421875,0.43595564159933137,0.4344228828914059,0.4782608695652174,0.0,0.4259927763249895]"
27,"[0.1640625,0.4356866303866492,0.4285629684272472,0.7826086956521738,0.0,0.6945848687565233]"
28,"[0.1640625,0.435949080356537,0.434350538268682,0.7826086956521738,0.0,0.6945848687565233]"
29,"[0.14453125,0.43502394423086777,0.43644853223359426,0.6956521739130435,0.0,0.10950662234763062]"
30,"[0.14453125,0.43587034534914526,0.4336862831092279,0.6956521739130435,0.0,0.10950662234763062]"
31,"[0.14453125,0.43579161036521835,0.4345346882024662,0.6956521739130435,0.0,0.10950662234763062]"
32,"[0.14453125,0.4364608577637942,0.434455766802273,0.6956521739130435,0.0,0.10950662234763062]"
33,"[0.14453125,0.4365461540139802,0.43512659873919635,0.6956521739130435,0.0,0.10950662234763062]"
34,"[0.14453125,0.436152479070881,0.4352120969403793,0.6956521739130435,0.0,0.10950662234763062]"
35,"[0.14453125,0.43632307157125316,0.43481748991589264,0.6956521739130435,0.0,0.10950662234763062]"
36,"[0.14453125,0.4359293965812242,0.43498848631825865,0.6956521739130435,0.0,0.10950662234763062]"
37,"[0.14453125,0.4361327953424979,0.4345938792467311,0.6956521739130435,0.0,0.10950662234763062]"
38,"[0.14453125,0.43652647028559716,0.4347977595834846,0.6956521739130435,0.0,0.10950662234763062]"
39,"[0.14453125,0.43724164650105773,0.43519236660797134,0.6956521739130435,0.0,0.10950662234763062]"
40,"[0.14453125,0.4373728713569449,0.4359092361047821,0.6956521739130435,0.0,0.10950662234763062]"
41,"[0.14453125,0.4317039521387718,0.433120679729416,0.6956521739130435,0.0,0.16666665935057304]"
42,"[0.14453125,0.43653959277118587,0.4303584304639272,0.6956521739130435,0.0,0.16666665935057304]"
43,"[0.14453125,0.4365199090428028,0.43520552016291003,0.6956521739130435,0.0,0.16666665935057304]"
44,"[0.14453125,0.4369529514426682,0.435185789830502,0.6956521739130435,0.0,0.16666665935057304]"
45,"[0.14453125,0.4369529514426682,0.43561985751980475,0.6956521739130435,0.0,0.16666665935057304]"
46,"[0.14453125,0.4366708177209325,0.43561985751980475,0.6956521739130435,0.0,0.16666665935057304]"
47,"[0.14453125,0.4362705815350389,0.4353370558063784,0.6956521739130435,0.0,0.16666665935057304]"
48,"[0.14453125,0.43618528533178247,0.4349358720044223,0.6956521739130435,0.0,0.16666665935057304]"
49,"[0.14453125,0.43646741900658853,0.43485037385028014,0.6956521739130435,0.0,0.16666665935057304]"
50,"[0.14453125,0.43680204276453855,0.4351331755166657,0.6956521739130435,0.0,0.16666665935057304]"
51,"[0.14453125,0.43716947273646034,0.43546859154392836,0.6956521739130435,0.0,0.16666665935057304]"
52,"[0.14453125,0.43716947273646034,0.43583689145853777,0.6956521739130435,0.0,0.16666665935057304]"
53,"[0.02734375,0.4367101852715581,0.435100291629319,0.30434782608695654,0.0,0.09169675438143912]"
54,"[0.02734375,0.43659864405019455,0.43537651656527604,0.30434782608695654,0.0,0.09169675438143912]"
55,"[0.02734375,0.43697263517105134,0.4352647112542157,0.30434782608695654,0.0,0.09169675438143912]"
56,"[0.02734375,0.43697263517105134,0.43563958785221274,0.30434782608695654,0.0,0.09169675438143912]"
57,"[0.02734375,0.43657896022795206,0.43563958785221274,0.30434782608695654,0.0,0.09169675438143912]"
58,"[0.02734375,0.436152479070881,0.435244980827726,0.30434782608695654,0.0,0.09169675438143912]"
59,"[0.02734375,0.43575880412778173,0.43481748991589264,0.30434782608695654,0.0,0.09169675438143912]"
60,"[0.02734375,0.4363033878428701,0.4344228828914059,0.30434782608695654,0.0,0.09169675438143912]"
61,"[0.078125,0.4357456816187281,0.4301348198418065,0.4782608695652174,0.0,0.5061371976657554]"
62,"[0.078125,0.43580473287427196,0.4344097293129468,0.4782608695652174,0.0,0.5061371976657554]"
63,"[0.10546875,0.43559477290540116,0.43267345839109295,0.5652173913043478,0.0,0.18267149036860245]"
64,"[0.10546875,0.4353979354279853,0.4342584633017898,0.5652173913043478,0.0,0.18267149036860245]"
65,"[0.078125,0.4356341403973646,0.43100953209196297,0.4782608695652174,0.0,0.381949465777165]"
66,"[0.078125,0.43554884415891093,0.43429792400188644,0.4782608695652174,0.0,0.381949465777165]"
67,"[0.10546875,0.4360803053532133,0.4319631658599148,0.5652173913043478,0.0,0.36317689973287054]"
68,"[0.10546875,0.4363296328140475,0.4347451453166891,0.5652173913043478,0.0,0.36317689973287054]"
69,"[0.02734375,0.43723508516440396,0.4359026592332311,0.30434782608695654,0.0,0.048194946655181016]"
70,"[0.02734375,0.4368414102213047,0.4359026592332311,0.30434782608695654,0.0,0.048194946655181016]"
71,"[0.02734375,0.4360540603351062,0.4355080522087444,0.30434782608695654,0.0,0.048194946655181016]"
72,"[0.02734375,0.4366511339925494,0.4347188381597709,0.30434782608695654,0.0,0.048194946655181016]"
73,"[0.02734375,0.4362574590494502,0.43531732547397034,0.30434782608695654,0.0,0.048194946655181016]"
74,"[0.02734375,0.435069872977358,0.43492271844948366,0.30434782608695654,0.0,0.048194946655181016]"
75,"[0.02734375,0.4353979354279853,0.4337323205985541,0.30434782608695654,0.0,0.048194946655181016]"
76,"[0.02734375,0.43552259916426866,0.43406115978366633,0.30434782608695654,0.0,0.048194946655181016]"
77,"[0.078125,0.43552259916426866,0.4310358392018403,0.4782608695652174,0.0,0.43465702804210743]"
78,"[0.078125,0.4360540603351062,0.43418611867906587,0.4782608695652174,0.0,0.43465702804210743]"
79,"[0.02734375,0.43558821165087436,0.43294968332705,0.30434782608695654,0.0,0.12039711143374854]"
80,"[0.02734375,0.4360146928314103,0.43425188651256025,0.30434782608695654,0.0,0.12039711143374854]"
81,"[0.02734375,0.43622465278854866,0.4346793774479141,0.30434782608695654,0.0,0.12039711143374854]"
82,"[0.02734375,0.43622465278854866,0.4348898345150961,0.30434782608695654,0.0,0.12039711143374854]"
83,"[0.02734375,0.4358309778689142,0.4348898345150961,0.30434782608695654,0.0,0.12039711143374854]"
84,"[0.02734375,0.43484022924490684,0.43449522751412983,0.30434782608695654,0.0,0.12039711143374854]"
85,"[0.02734375,0.43510924048105387,0.4335021331519232,0.30434782608695654,0.0,0.12039711143374854]"
86,"[0.02734375,0.4352010979505695,0.43377178131041094,0.30434782608695654,0.0,0.12039711143374854]"
87,"[0.078125,0.43584410035450294,0.4325024619887269,0.4782608695652174,0.0,0.23610108393857415]"
88,"[0.078125,0.4357128753812915,0.4345083810690685,0.4782608695652174,0.0,0.23610108393857415]"
89,"[0.10546875,0.4359818866174385,0.4324958853053392,0.5652173913043478,0.0,0.23610108393857415]"
90,"[0.10546875,0.43570631413849714,0.4346464935605674,0.5652173913043478,0.0,0.23610108393857415]"
91,"[0.0546875,0.4368086040073329,0.4304044680002942,0.3913043478260869,0.0,0.5545126547293444]"
92,"[0.0546875,0.43651334780000844,0.4354751683213977,0.3913043478260869,0.0,0.5545126547293444]"
93,"[0.08203125,0.43526671044890763,0.431180528494329,0.4782608695652174,0.0,0.37761731926140046]"
94,"[0.08203125,0.4356800691438548,0.43392962411079744,0.4782608695652174,0.0,0.37761731926140046]"
95,"[0.11328125,0.43559477290540116,0.4310424160733913,0.6086956521739131,0.0,0.41371843005434183]"
