LineRef,BlockRef,Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,FromStopLocation,ToStopID,ToStopLocation,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,ActualDepartureDateTime,ActualArrivalDateTime,DepartureDate,ArrivalDate,TravelTime,TravelTimeInSeconds,ArrivalDifference,DepartureDifference,HourOfDay,DayOfWeek,ArrivalHour
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T06:36:00-2024-08-21,06:37:00,1021.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-21 06:36:00,2024-08-21 06:36:00,2024-08-21 06:26:33,2024-08-21 06:35:51,1:1_1_2147483284,2024-08-21 06:26:33+01:00,2024-08-21 06:35:51+01:00,2024-08-21,2024-08-21,9.3,558.0,-0.15,-9.45,6,Wednesday,6
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T06:36:00-2024-08-21,06:37:00,1021.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 06:36:00,2024-08-21 06:37:00,2024-08-21 06:35:51,2024-08-21 06:37:42,1:1_2_2147483283,2024-08-21 06:35:51+01:00,2024-08-21 06:37:42+01:00,2024-08-21,2024-08-21,1.85,111.0,0.7,-0.15,6,Wednesday,6
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T08:56:00-2024-08-21,08:57:00,1053.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-21 08:56:00,2024-08-21 08:56:00,2024-08-21 08:51:41,2024-08-21 08:57:05,1:1_1_2147483284,2024-08-21 08:51:41+01:00,2024-08-21 08:57:05+01:00,2024-08-21,2024-08-21,5.4,324.0,1.0833333333333333,-4.316666666666666,8,Wednesday,8
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T08:56:00-2024-08-21,08:57:00,1053.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 08:56:00,2024-08-21 08:57:00,2024-08-21 08:57:05,2024-08-21 08:59:23,1:1_2_2147483283,2024-08-21 08:57:05+01:00,2024-08-21 08:59:23+01:00,2024-08-21,2024-08-21,2.3,138.0,2.3833333333333333,1.0833333333333333,8,Wednesday,8
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T11:14:00-2024-08-21,11:15:00,1081.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-21 11:14:00,2024-08-21 11:14:00,2024-08-21 11:06:27,2024-08-21 11:06:27,1:1_1_2147483284,2024-08-21 11:06:27+01:00,2024-08-21 11:06:27+01:00,2024-08-21,2024-08-21,0.0,0.0,-7.55,-7.55,11,Wednesday,11
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T11:14:00-2024-08-21,11:15:00,1081.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 11:14:00,2024-08-21 11:15:00,2024-08-21 11:06:27,2024-08-21 11:16:32,1:1_2_2147483283,2024-08-21 11:06:27+01:00,2024-08-21 11:16:32+01:00,2024-08-21,2024-08-21,10.083333333333334,605.0,1.5333333333333334,-7.55,11,Wednesday,11
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T13:34:00-2024-08-21,13:35:00,1109.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-21 13:34:00,2024-08-21 13:34:00,2024-08-21 13:26:08,2024-08-21 13:35:33,1:1_1_2147483284,2024-08-21 13:26:08+01:00,2024-08-21 13:35:33+01:00,2024-08-21,2024-08-21,9.416666666666666,565.0,1.55,-7.866666666666666,13,Wednesday,13
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T13:34:00-2024-08-21,13:35:00,1109.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 13:34:00,2024-08-21 13:35:00,2024-08-21 13:35:33,2024-08-21 13:36:53,1:1_2_2147483283,2024-08-21 13:35:33+01:00,2024-08-21 13:36:53+01:00,2024-08-21,2024-08-21,1.3333333333333333,80.0,1.8833333333333333,1.55,13,Wednesday,13
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T15:54:00-2024-08-21,15:55:00,1145.0,260007454,"(np.float64(-1.2052472), np.float64(52.7720907))",260007423,"(-1.202979, 52.7731152)",2024-08-21 15:54:00,2024-08-21 15:54:00,2024-08-21 15:50:11,2024-08-21 15:54:42,1:1_1_2147483284,2024-08-21 15:50:11+01:00,2024-08-21 15:54:42+01:00,2024-08-21,2024-08-21,4.516666666666667,271.0,0.7,-3.816666666666667,15,Wednesday,15
NT1,1001.0,Wednesday,NT1-In-1001-NT260007454-2024-08-21T15:54:00-2024-08-21,15:55:00,1145.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-21 15:54:00,2024-08-21 15:55:00,2024-08-21 15:54:42,2024-08-21 15:56:33,1:1_2_2147483283,2024-08-21 15:54:42+01:00,2024-08-21 15:56:33+01:00,2024-08-21,2024-08-21,1.85,111.0,1.55,0.7,15,Wednesday,15
